organism,perc_monthly_min_0,perc_monthly_min_05,median_monthly_min,mean_monthly_min,perc_monthly_min_95,perc_monthly_mean_05,median_monthly_mean,mean_monthly_mean,perc_monthly_mean_95,perc_monthly_max_05,median_monthly_max,mean_monthly_max,perc_monthly_max_95,perc_monthly_max_100,n_records,spp_rank
Prasiola stipitata,4.600311279296875,6.151121425628663,7.885002136230469,7.782337096816335,9.20209126472473,9.7971510887146,10.985079765319824,11.06361486447812,12.604132890701294,13.06108570098877,14.915719985961914,14.876864515869311,16.854108619689942,21.068777084350586,358,29
Modiolus modiolus,-1.7999999523162842,3.2407363057136536,7.880718231201172,7.557438917574165,9.21645736694336,9.276803851127625,11.026475151379902,11.078502112238274,12.717414140701294,12.313907623291016,14.955415725708008,15.151175820632266,18.611312866210938,29.349536895751953,3786,30
Saccharina latissima,-1.7999999523162842,1.703871488571167,7.8885602951049805,7.157954294471443,9.887503623962402,9.276803851127625,11.01866626739502,11.09867656198197,13.144826253255209,13.243526458740234,15.183330535888672,15.604513074482009,18.81296157836914,22.240217208862305,12783,31
Ceramium virgatum,-1.7999999523162842,1.5787301063537598,4.696569442749023,5.513608643802359,10.214224815368652,8.984657430648804,10.816739638646444,11.101893045694109,14.447455128033956,13.796525287628175,18.015819549560547,17.50570516285682,20.245058059692383,26.277088165283203,7455,32
Cystoclonium purpureum,1.1427500247955322,1.6280708312988281,6.81043815612793,5.8760015520165245,9.477745056152344,9.832040508588156,10.915988445281982,11.112216768070416,12.943613131841024,13.379782676696777,16.957002639770508,16.727709428663587,19.11774253845215,21.781757354736328,3764,33
Littorina obtusata,-1.7999999523162842,0.8637217104434971,7.973406791687012,7.258393879859678,9.705720901489258,7.927187701066335,11.359167496363321,11.118636300558615,13.18939995765686,13.355751037597656,15.793481826782227,15.747985627124105,18.28559112548828,22.059066772460938,5084,34
Boreochiton ruber,-0.851318359375,1.9060491204261787,7.79914665222168,7.569438341187268,10.604612350463867,9.276803851127625,11.019058783849081,11.146647232656695,14.06899897257487,12.67199993133545,14.746789932250977,15.213141936790652,18.52643375396728,19.19927215576172,410,35
Bonnemaisonia hamifera,1.703871488571167,1.703871488571167,7.918050765991211,7.611737998719251,10.76590347290039,9.419260541598002,10.811344623565674,11.211602991144922,14.201138496398926,12.270133972167969,14.850915908813477,15.368034277816253,18.67941665649414,28.109403610229492,2267,36
Semibalanus balanoides,-1.7999999523162842,0.937036395072937,7.973406791687012,7.418828827275331,9.65660285949707,7.934500152866046,11.523411591847738,11.21679916702534,12.849110126495361,13.355751037597656,15.849468231201172,15.720765278093047,18.28559112548828,24.612638473510742,13124,37
Littorina saxatilis,-1.7999999523162842,1.6045453548431396,7.959869384765625,7.076337876873725,9.788763999938965,8.909775773684183,11.21252691745758,11.238062951177712,13.155932982762655,13.355751037597656,16.280363082885742,16.079733660669696,18.958372116088867,27.065818786621094,10874,38
Dynamena pumila,-1.7999999523162842,0.937036395072937,8.022577285766602,7.454027386343636,9.705720901489258,7.934500152866046,11.572819352149963,11.28451255681572,13.058243354161581,13.355751037597656,16.036529541015625,15.864152298584271,18.28559112548828,21.443870544433594,4248,39
Flustrellidra hispida,0.621585488319397,0.937036395072937,7.996667861938477,7.558269373364322,9.705720901489258,7.934500152866046,11.572819352149963,11.28455057246474,12.696214040120443,13.355751037597656,15.919879913330078,15.723039103875271,18.28559112548828,19.719104766845703,1841,40
Littorina littorea,-1.7999999523162842,1.494827389717102,7.832858085632324,7.028186389194931,9.69360065460205,9.056326647599539,11.513557275136312,11.378378691368264,13.058243354161581,13.572798728942871,16.22529411315918,16.37630230893299,19.113436126708976,29.349536895751953,14222,41
Ahnfeltia plicata,-1.7999999523162842,1.5787301063537598,7.324703216552734,6.292095032528307,10.015058517456055,9.722451488176981,11.092229723930359,11.386556438383579,13.529887437820435,13.572798728942871,16.957002639770508,16.987963306080896,19.611995697021484,21.781757354736328,2535,42
Crisia eburnea,-0.0517578125,5.356781959533691,7.959869384765625,7.748718774919873,9.895929145812989,9.586226344108582,11.326979358990988,11.435325596513637,13.083912452061972,13.355751037597656,15.566871643066406,15.548032318387378,18.472887420654295,28.33454132080078,813,43
Membranipora membranacea,-0.17826610803604126,1.9039349555969238,8.0191650390625,7.382612349151526,9.916629791259766,9.832040508588156,11.133776466051737,11.438387712516086,13.335257768630981,13.350373268127441,15.936878204345703,15.997774531429211,18.83672523498535,22.240217208862305,6081,44
Ascophyllum nodosum,-0.28173828125,0.937036395072937,8.208294868469238,7.5813069150293915,11.001542091369629,7.934500152866046,11.44227385520935,11.456052200082876,14.599358558654785,13.478779792785645,15.990665435791016,16.153307822234076,18.893293380737305,29.742652893066406,7516,45
Asterias rubens,-1.7999999523162842,2.4274826049804688,7.644262313842773,7.021646705899558,9.298830032348633,9.788072496652603,11.44227385520935,11.458639423957614,13.173324982325235,13.379782676696777,16.415733337402344,16.344185669407693,19.016616821289062,24.612638473510742,30839,46
Leathesia marina,-1.7999999523162842,1.5128474235534668,7.992493629455566,7.727858395049945,12.638578414916992,8.609131654103598,11.261879205703735,11.471337066691236,16.367847363154095,13.355994033813477,15.566679000854492,16.087260155878944,20.563892364501953,28.585676193237305,2015,47
Didemnum vexillum,2.2586677074432373,3.146937847137451,4.2843523025512695,4.84184246227659,8.155633926391602,10.540667097767194,11.397385358810425,11.49774024038936,12.851738731066385,14.942097663879395,19.848583221435547,19.357382012509753,22.856868743896484,22.90209197998047,174,48
Dumontia contorta,-1.7999999523162842,3.5579047203063965,8.165323257446289,7.818607111104661,9.9093599319458,9.426133036613464,11.736301183700562,11.498583989050864,13.268141110738119,13.355751037597656,15.977354049682617,15.78343195078775,18.701679229736328,22.159297943115234,3067,49
Celleporella hyalina,2.5209760665893555,6.81043815612793,8.164692878723145,8.112209890857567,9.676225280761713,10.244353294372559,11.577245632807413,11.56294051074038,13.246215216318767,13.355751037597656,15.433185577392578,15.347886800033898,17.852977752685547,18.820022583007812,977,50
Carcinus maenas,-1.7999999523162842,3.0356831550598145,8.088671684265137,7.559545073385506,9.79157543182373,9.887002944946289,11.88151224454244,11.56423986290439,12.86458651224772,13.884082794189453,15.770438194274902,16.305080231222256,19.125791549682617,26.3365478515625,47877,51
Metridium senile,-0.8294677734375,4.696569442749023,7.902857303619385,7.7808724736093495,9.890193271636962,9.731578747431437,11.751300613085428,11.61342845428272,13.236916383107504,13.258071041107177,16.036529541015625,15.95686318622028,18.481868743896484,24.612638473510742,4507,52
Electra pilosa,-1.7999999523162842,2.035773277282715,7.931488037109375,7.314380156081002,9.77754020690918,9.97031538685163,11.665206909179688,11.645857358921761,13.332622766494751,13.572798728942871,16.328752517700195,16.398506865544363,18.895841598510742,22.240217208862305,11100,53
Scytosiphon lomentaria,-1.7999999523162842,1.3121275901794434,8.1107177734375,7.6623009604035,10.871568012237546,8.751889905333519,11.487748622894287,11.647289067010085,14.737618865569424,13.495352745056152,16.095556259155273,16.436880061120696,20.585802078247067,28.140514373779297,1320,54
Schizoporella unicornis,3.146937847137451,6.121047210693359,7.9894232749938965,8.129529664323137,10.134849548339844,10.30856986840566,11.511900742848715,11.659750042842315,13.557795206705729,13.355751037597656,15.469963073730469,15.7864354056281,21.85004959106442,26.447933197021484,185,55
Petalonia fascia,0.621585488319397,2.5209760665893555,7.825667858123779,7.445600677007405,13.51177978515625,10.053919394810995,11.19999130566915,11.759789050142613,16.707269048690794,13.355751037597656,15.554818153381348,16.53603797926295,20.632123565673822,28.140514373779297,557,56
Plumaria plumosa,1.1427500247955322,3.2107410430908203,8.176112174987793,7.691156677813198,10.86979866027832,10.089980940024057,11.636674682299295,11.765419645710354,14.156858762105307,13.356098175048828,16.42829132080078,16.32786924365421,18.895841598510742,21.184614181518555,2356,57
Hiatella arctica,-1.7999999523162842,5.0519002914428714,8.270108222961426,8.230371125196625,10.702291107177732,9.7971510887146,11.6985502243042,11.77985035233479,14.03242564201355,13.359935760498047,15.883563995361328,15.925688182438728,18.820022583007812,29.874736785888672,4349,58
Sphacelaria cirrosa,1.1427500247955322,1.6962914228439336,4.696569442749023,5.27078743828451,13.197457408905024,9.991697788238525,10.811344623565674,11.791871898771753,18.37534045378367,13.959336471557616,18.353374481201172,18.86508806246172,24.411518096923828,26.078046798706055,979,59
